Title,Year,Rating
Inception,2010,8.8
Inception,2010,9.0
The Matrix,1999,8.7
The Matrix,1999,8.5
Interstellar,2014,8.6
Interstellar,2014,8.9
Avatar,2009,7.9
Avatar,2009,8.1
The Shawshank Redemption,1994,9.3
The Shawshank Redemption,1994,9.2
The Godfather,1972,9.2
The Godfather,1972,9.1
Pulp Fiction,1994,8.9
Pulp Fiction,1994,9.0
The Dark Knight,2008,9.0
The Dark Knight,2008,9.1
Fight Club,1999,8.8
Fight Club,1999,8.9
Forrest Gump,1994,8.8
Forrest Gump,1994,8.9
The Lord of the Rings: The Return of the King,2003,8.9
The Lord of the Rings: The Return of the King,2003,9.0
